timestamp,active,idle,total
1769924398,0,0,0
1769924399,0,0,0
1769924401,0,0,0
1769924402,0,0,0
1769924403,0,0,0
1769924404,0,0,0
1769924405,0,0,0
1769924406,0,0,0
1769924407,0,0,0
1769924408,0,0,0
1769924410,0,0,0
1769924411,0,0,0
1769924412,0,0,0
1769924413,0,0,0
1769924414,0,0,0
1769924415,0,0,0
1769924416,0,0,0
1769924417,0,0,0
1769924419,0,0,0
1769924420,0,0,0
1769924421,0,0,0
1769924422,0,0,0
1769924423,0,0,0
1769924424,0,0,0
1769924425,0,0,0
1769924427,0,0,0
1769924428,0,0,0
1769924429,0,0,0
1769924430,0,0,0
1769924431,0,0,0
1769924432,0,0,0
1769924433,0,0,0
1769924434,0,0,0
1769924436,0,0,0
1769924437,0,0,0
1769924438,0,0,0
1769924439,0,0,0
1769924440,0,0,0
1769924441,0,0,0
1769924442,0,0,0
1769924444,0,0,0
1769924445,0,0,0
1769924446,0,0,0
1769924447,0,0,0
1769924448,0,0,0
1769924449,0,0,0
1769924450,0,0,0
1769924451,0,0,0
1769924453,0,0,0
1769924454,0,0,0
1769924455,0,0,0
1769924456,0,0,0
1769924457,0,0,0
1769924458,0,0,0
1769924459,0,0,0
1769924461,0,0,0
1769924462,0,0,0
1769924463,0,0,0
1769924464,0,0,0
1769924465,0,0,0
1769924466,0,0,0
1769924467,0,0,0
1769924468,0,0,0
1769924470,0,0,0
1769924471,0,0,0
1769924472,0,0,0
1769924473,0,0,0
1769924474,0,0,0
1769924475,0,0,0
1769924476,0,0,0
1769924478,0,0,0
1769924479,0,0,0
1769924480,0,0,0
1769924481,0,0,0
1769924482,0,0,0
1769924483,0,0,0
1769924484,0,0,0
1769924485,0,0,0
1769924487,0,0,0
1769924488,0,0,0
1769924489,0,0,0
1769924490,0,0,0
1769924491,0,0,0
1769924492,0,0,0
1769924493,0,0,0
1769924494,0,0,0
1769924496,0,0,0
1769924497,0,0,0
1769924498,0,0,0
1769924499,0,0,0
1769924500,0,0,0
1769924501,0,0,0
1769924502,0,0,0
1769924504,0,0,0
1769924505,0,0,0
1769924506,0,0,0
1769924507,0,0,0
